record_id,trench_id,scan_idx,susceptibility,depth
10,1,33,0.0388,57.704918032786885
10,1,34,0.0446,59.50819672131148
10,1,35,0.0301,61.31147540983606
10,1,36,0.02,63.114754098360656
10,1,37,0.027,64.91803278688525
10,1,38,0.0262,66.72131147540983
10,1,39,0.0363,68.52459016393442
10,1,40,0.0463,70.32786885245902
10,1,41,0.0649,72.1311475409836
10,1,42,0.0957,73.93442622950819
10,1,43,0.1987,75.73770491803279
10,1,44,0.2803,77.54098360655738
10,1,45,0.3196,79.34426229508196
10,1,46,0.2108,81.14754098360656
10,1,47,0.1399,82.95081967213115
10,1,48,0.1456,84.75409836065573
10,1,49,0.1611,86.55737704918033
10,1,50,0.1606,88.36065573770492
10,1,51,0.2127,90.1639344262295
10,1,52,0.2298,91.9672131147541
10,1,53,0.1709,93.77049180327869
10,1,54,0.1247,95.57377049180327
10,1,55,0.0399,97.37704918032787
10,1,56,0.0204,99.18032786885246
10,1,57,0.0043,100.98360655737704
10,1,58,0.0023,102.78688524590164
10,1,59,0.0,104.59016393442623
10,1,60,0.0,106.39344262295081
10,1,61,0.0,108.19672131147541
10,1,62,0.0,110.0
11,1,1,0.0193,0.0
11,1,2,0.0247,1.6417910447761195
11,1,3,0.0166,3.283582089552239
11,1,4,0.0271,4.925373134328359
11,1,5,0.0476,6.567164179104478
11,1,6,0.0731,8.208955223880597
11,1,7,0.0915,9.850746268656717
11,1,8,0.108,11.492537313432836
11,1,9,0.0932,13.134328358208956
11,1,10,0.0653,14.776119402985076
11,1,11,0.072,16.417910447761194
11,1,12,0.0998,18.059701492537314
11,1,13,0.1363,19.701492537313435
11,1,14,0.1666,21.343283582089555
11,1,15,0.179,22.98507462686567
11,1,16,0.2705,24.62686567164179
11,1,17,0.2741,26.26865671641791
11,1,18,0.1756,27.910447761194032
11,1,19,0.1055,29.552238805970152
11,1,20,0.0885,31.19402985074627
11,1,21,0.0559,32.83582089552239
11,1,22,0.0422,34.47761194029851
11,1,23,0.0453,36.11940298507463
11,1,24,0.0528,37.76119402985075
11,1,25,0.0595,39.40298507462687
11,1,26,0.0346,41.04477611940299
11,1,27,0.0336,42.68656716417911
11,1,28,0.0402,44.32835820895522
11,1,29,0.0381,45.97014925373134
11,1,30,0.0311,47.61194029850746
11,1,31,0.0337,49.25373134328358
11,1,32,0.0324,50.8955223880597
11,1,33,0.0374,52.53731343283582
11,1,34,0.0321,54.17910447761194
11,1,35,0.0372,55.820895522388064
11,1,36,0.0421,57.462686567164184
11,1,37,0.0461,59.104477611940304
11,1,38,0.0289,60.746268656716424
11,1,39,0.0258,62.38805970149254
11,1,40,0.0397,64.02985074626866
11,1,41,0.046,65.67164179104478
11,1,42,0.0365,67.3134328358209
11,1,43,0.0306,68.95522388059702
11,1,44,0.0453,70.59701492537313
11,1,45,0.0872,72.23880597014926
11,1,46,0.1677,73.88059701492537
11,1,47,0.2426,75.5223880597015
11,1,48,0.1656,77.16417910447761
11,1,49,0.1007,78.80597014925374
11,1,50,0.1054,80.44776119402985
11,1,51,0.1267,82.08955223880598
11,1,52,0.1478,83.73134328358209
11,1,53,0.1328,85.37313432835822
11,1,54,0.1556,87.01492537313433
11,1,55,0.1801,88.65671641791045
11,1,56,0.1789,90.29850746268657
11,1,57,0.136,91.94029850746269
11,1,58,0.0561,93.58208955223881
11,1,59,0.0125,95.22388059701493
11,1,60,0.0007,96.86567164179105
11,1,61,0.0,98.50746268656717
11,1,62,0.0,100.1492537313433
11,1,63,0.0,101.7910447761194
11,1,64,0.0,103.43283582089553
11,1,65,0.0,105.07462686567165
11,1,66,0.0,106.71641791044776
11,1,67,0.0,108.35820895522389
11,1,68,0.0,110.0
15,2,1,0.0088,0.0
15,2,2,0.023,1.7446808510638299
15,2,3,0.0311,3.4893617021276597
15,2,4,0.0617,5.23404255319149
15,2,5,0.1071,6.9787234042553195
15,2,6,0.1724,8.72340425531915
15,2,7,0.2722,10.46808510638298
15,2,8,0.3248,12.212765957446809
15,2,9,0.3586,13.957446808510639
15,2,10,0.3466,15.702127659574469
