,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_6_hsgp_coeffs[0],0.321,0.932,-1.578,1.918,0.017,0.022,2860.0,1584.0,1.0
I_6_hsgp_coeffs[1],0.241,0.916,-1.435,1.966,0.013,0.022,4969.0,1527.0,1.0
I_6_hsgp_coeffs[2],0.047,0.945,-1.72,1.872,0.016,0.024,3536.0,1344.0,1.0
I_6_hsgp_coeffs[3],-0.279,0.842,-1.726,1.388,0.012,0.022,4995.0,1314.0,1.0
I_6_hsgp_coeffs[4],-0.432,0.916,-2.116,1.247,0.013,0.024,4815.0,1477.0,1.0
I_6_hsgp_coeffs[5],0.008,0.846,-1.571,1.587,0.012,0.024,4954.0,1443.0,1.01
I_6_hsgp_coeffs[6],0.486,0.838,-0.99,2.186,0.013,0.025,3997.0,993.0,1.0
I_6_hsgp_coeffs[7],0.39,0.852,-1.197,2.041,0.012,0.024,5506.0,1307.0,1.0
I_6_hsgp_coeffs[8],-0.2,0.842,-1.701,1.423,0.012,0.022,5271.0,1359.0,1.0
I_6_hsgp_coeffs[9],-0.739,0.873,-2.434,0.851,0.013,0.023,4596.0,1282.0,1.0
I_6_hsgp_coeffs[10],-0.364,0.914,-2.175,1.26,0.012,0.033,5827.0,1121.0,1.01
I_6_hsgp_coeffs[11],0.892,0.912,-0.803,2.513,0.014,0.022,3997.0,1496.0,1.0
I_6_hsgp_coeffs[12],0.828,0.883,-0.753,2.501,0.012,0.021,5257.0,1633.0,1.0
I_6_hsgp_coeffs[13],-0.873,0.911,-2.595,0.905,0.013,0.026,5177.0,1325.0,1.0
I_6_hsgp_coeffs[14],-1.011,0.882,-2.506,0.705,0.013,0.022,4771.0,1245.0,1.0
I_6_hsgp_coeffs[15],0.737,0.881,-0.873,2.389,0.014,0.025,4050.0,1095.0,1.0
I_6_hsgp_coeffs[16],0.83,0.91,-0.761,2.652,0.015,0.025,3647.0,1106.0,1.0
I_6_hsgp_coeffs[17],-0.609,0.858,-2.17,1.024,0.012,0.022,4822.0,1433.0,1.01
I_6_hsgp_coeffs[18],-0.514,0.851,-2.198,0.972,0.011,0.02,6099.0,1572.0,1.0
I_6_hsgp_coeffs[19],0.489,0.85,-1.229,1.996,0.013,0.022,4041.0,1357.0,1.0
I_6_hsgp_coeffs[20],0.184,0.856,-1.573,1.633,0.012,0.024,5044.0,1267.0,1.0
I_6_hsgp_coeffs[21],-0.41,0.867,-2.119,1.109,0.013,0.019,4421.0,1629.0,1.0
I_6_hsgp_coeffs[22],-0.078,0.836,-1.601,1.545,0.013,0.02,4258.0,1293.0,1.0
I_6_hsgp_coeffs[23],0.342,0.846,-1.192,1.912,0.012,0.02,5407.0,1472.0,1.0
I_6_hsgp_coeffs[24],0.169,0.841,-1.229,1.899,0.014,0.021,3623.0,1437.0,1.0
I_6_hsgp_coeffs[25],-0.255,0.899,-1.916,1.417,0.012,0.025,5838.0,1250.0,1.01
I_6_hsgp_coeffs[26],-0.374,0.889,-2.024,1.279,0.013,0.022,4394.0,1356.0,1.0
I_6_hsgp_coeffs[27],0.225,0.867,-1.344,1.915,0.012,0.022,4862.0,1458.0,1.0
I_6_hsgp_coeffs[28],0.554,0.889,-1.043,2.23,0.013,0.022,4944.0,1106.0,1.0
I_6_hsgp_coeffs[29],-0.16,0.84,-1.628,1.476,0.012,0.019,5050.0,1338.0,1.0
I_6_hsgp_coeffs[30],-0.588,0.923,-2.273,1.193,0.013,0.025,4834.0,1278.0,1.0
I_6_hsgp_coeffs[31],0.243,0.884,-1.448,1.833,0.013,0.025,4603.0,1335.0,1.0
I_6_hsgp_coeffs[32],0.502,0.863,-1.097,2.125,0.012,0.019,5120.0,1693.0,1.0
I_6_hsgp_coeffs[33],-0.363,0.878,-2.105,1.154,0.013,0.022,4409.0,1584.0,1.0
I_6_hsgp_coeffs[34],-0.271,0.901,-2.09,1.281,0.014,0.025,4019.0,1390.0,1.0
I_6_hsgp_coeffs[35],0.507,0.876,-1.198,2.098,0.012,0.021,5238.0,1498.0,1.0
I_6_hsgp_coeffs[36],-0.02,0.862,-1.582,1.67,0.012,0.023,4980.0,1440.0,1.0
I_6_hsgp_coeffs[37],-0.543,0.893,-2.208,0.991,0.013,0.025,4403.0,1400.0,1.0
I_6_hsgp_coeffs[38],0.3,0.872,-1.256,2.005,0.014,0.022,3884.0,1530.0,1.0
