,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_7[39],0.34,0.346,-0.278,1.001,0.006,0.008,3012.0,2790.0,1.0
I_7[40],0.309,0.342,-0.296,0.969,0.006,0.008,3071.0,2665.0,1.0
I_7[41],0.318,0.342,-0.262,1.005,0.006,0.008,3048.0,2692.0,1.0
I_7[42],0.365,0.347,-0.214,1.076,0.007,0.008,2952.0,2711.0,1.0
I_7[43],0.443,0.357,-0.145,1.177,0.007,0.008,2792.0,2713.0,1.0
I_7[44],0.544,0.373,-0.149,1.208,0.007,0.008,2599.0,2752.0,1.0
I_7[45],0.658,0.394,-0.043,1.378,0.008,0.008,2420.0,2733.0,1.0
I_7[46],0.771,0.418,0.056,1.549,0.009,0.008,2257.0,2708.0,1.0
I_7[47],0.873,0.441,0.176,1.748,0.009,0.008,2126.0,2708.0,1.0
I_7[48],0.952,0.46,0.209,1.842,0.01,0.008,2009.0,2592.0,1.0
I_7[49],1.0,0.472,0.234,1.902,0.01,0.008,1950.0,2496.0,1.0
I_7[50],1.009,0.474,0.226,1.899,0.01,0.008,1936.0,2449.0,1.0
I_7[51],0.979,0.466,0.209,1.867,0.01,0.008,1969.0,2510.0,1.0
I_7[52],0.908,0.449,0.157,1.768,0.01,0.008,2055.0,2606.0,1.0
I_7[53],0.803,0.424,0.075,1.614,0.009,0.008,2207.0,2615.0,1.0
I_7[54],0.668,0.396,-0.024,1.437,0.008,0.008,2420.0,2672.0,1.0
I_7[55],0.514,0.368,-0.16,1.212,0.007,0.008,2668.0,2732.0,1.0
I_7[56],0.349,0.345,-0.265,1.03,0.006,0.008,2982.0,2791.0,1.0
I_7[57],0.184,0.33,-0.409,0.85,0.006,0.008,3264.0,2820.0,1.0
I_7[58],0.028,0.325,-0.545,0.692,0.006,0.008,3413.0,2783.0,1.0
I_7[59],-0.112,0.328,-0.712,0.528,0.006,0.009,3391.0,2613.0,1.0
I_7[60],-0.231,0.336,-0.859,0.404,0.006,0.009,3261.0,2452.0,1.0
I_7[61],-0.325,0.346,-1.028,0.27,0.006,0.009,3041.0,2550.0,1.0
I_7[62],-0.394,0.355,-1.029,0.289,0.007,0.009,2855.0,2667.0,1.0
I_7[63],-0.439,0.362,-1.108,0.222,0.007,0.009,2725.0,2649.0,1.0
I_7[64],-0.465,0.367,-1.12,0.218,0.007,0.01,2636.0,2686.0,1.0
I_7[65],-0.476,0.369,-1.176,0.17,0.007,0.01,2595.0,2688.0,1.0
I_7[66],-0.477,0.369,-1.18,0.164,0.007,0.01,2583.0,2669.0,1.0
I_7[67],-0.474,0.369,-1.153,0.189,0.007,0.01,2585.0,2623.0,1.0
I_7[68],-0.47,0.369,-1.155,0.188,0.007,0.01,2595.0,2694.0,1.0
I_7[69],-0.469,0.369,-1.145,0.197,0.007,0.01,2591.0,2667.0,1.0
I_7[70],-0.474,0.369,-1.183,0.157,0.007,0.01,2575.0,2620.0,1.0
I_7[71],-0.484,0.37,-1.192,0.15,0.007,0.01,2550.0,2755.0,1.0
I_7[72],-0.501,0.373,-1.22,0.133,0.008,0.01,2511.0,2796.0,1.0
I_7[73],-0.521,0.376,-1.282,0.079,0.008,0.01,2467.0,2786.0,1.0
I_7[74],-0.544,0.38,-1.275,0.091,0.008,0.01,2421.0,2777.0,1.0
I_7[75],-0.566,0.384,-1.288,0.098,0.008,0.01,2376.0,2754.0,1.0
I_7[76],-0.587,0.387,-1.319,0.077,0.008,0.01,2342.0,2965.0,1.0
I_7[77],-0.604,0.391,-1.35,0.054,0.008,0.01,2319.0,2856.0,1.0
I_7[78],-0.616,0.393,-1.356,0.055,0.008,0.01,2298.0,2781.0,1.0
I_7[79],-0.623,0.395,-1.352,0.064,0.008,0.01,2292.0,2751.0,1.0
I_7[80],-0.624,0.395,-1.378,0.04,0.008,0.01,2299.0,2760.0,1.0
I_7[81],-0.622,0.395,-1.353,0.069,0.008,0.01,2305.0,2777.0,1.0
I_7[82],-0.617,0.394,-1.338,0.085,0.008,0.01,2310.0,2799.0,1.0
I_7[83],-0.61,0.393,-1.375,0.042,0.008,0.01,2315.0,2764.0,1.0
I_7[84],-0.602,0.392,-1.361,0.057,0.008,0.01,2316.0,2704.0,1.0
I_7[85],-0.596,0.39,-1.38,0.038,0.008,0.01,2313.0,2638.0,1.0
I_7[86],-0.592,0.39,-1.38,0.033,0.008,0.01,2308.0,2646.0,1.0
I_7[87],-0.59,0.389,-1.369,0.044,0.008,0.01,2301.0,2690.0,1.0
I_7[88],-0.591,0.389,-1.363,0.049,0.008,0.01,2308.0,2741.0,1.0
I_7[89],-0.593,0.39,-1.326,0.088,0.008,0.01,2314.0,2741.0,1.0
I_7[90],-0.597,0.391,-1.332,0.082,0.008,0.01,2313.0,2756.0,1.0
I_7[91],-0.602,0.392,-1.341,0.078,0.008,0.01,2275.0,2818.0,1.0
I_7[92],-0.607,0.394,-1.402,0.009,0.008,0.01,2268.0,2859.0,1.0
I_7[93],-0.611,0.395,-1.386,0.019,0.008,0.01,2281.0,2927.0,1.0
I_7[94],-0.614,0.396,-1.393,0.01,0.008,0.01,2319.0,2849.0,1.0
I_7[95],-0.615,0.397,-1.392,0.021,0.008,0.01,2351.0,2871.0,1.0
I_7[96],-0.613,0.396,-1.426,-0.005,0.008,0.01,2350.0,2894.0,1.0
I_7[97],-0.608,0.395,-1.41,0.018,0.008,0.01,2349.0,2867.0,1.0
I_7[98],-0.601,0.392,-1.334,0.08,0.008,0.01,2342.0,2846.0,1.0
I_7[99],-0.59,0.389,-1.32,0.076,0.008,0.01,2325.0,2911.0,1.0
I_7[100],-0.576,0.389,-1.366,0.047,0.008,0.01,2300.0,2966.0,1.0
