,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_6[3],-0.983,0.427,-1.779,-0.252,0.01,0.008,1868.0,2283.0,1.0
I_6[4],-0.93,0.417,-1.727,-0.233,0.01,0.008,1872.0,2177.0,1.0
I_6[5],-0.863,0.403,-1.613,-0.165,0.009,0.008,1885.0,2158.0,1.0
I_6[6],-0.787,0.388,-1.517,-0.118,0.009,0.008,1897.0,2039.0,1.0
I_6[7],-0.709,0.372,-1.419,-0.064,0.008,0.007,1913.0,1987.0,1.0
I_6[8],-0.636,0.359,-1.34,-0.016,0.008,0.007,1932.0,1996.0,1.0
I_6[9],-0.573,0.347,-1.273,0.029,0.008,0.007,1950.0,1952.0,1.0
I_6[10],-0.522,0.339,-1.186,0.093,0.008,0.007,1966.0,1920.0,1.0
I_6[11],-0.487,0.333,-1.128,0.135,0.008,0.007,1981.0,1989.0,1.0
I_6[12],-0.466,0.33,-1.077,0.176,0.007,0.007,1989.0,2094.0,1.0
I_6[13],-0.459,0.329,-1.073,0.174,0.007,0.007,1989.0,2141.0,1.0
I_6[14],-0.463,0.33,-1.074,0.169,0.007,0.007,1987.0,2217.0,1.0
I_6[15],-0.473,0.332,-1.102,0.144,0.008,0.007,1980.0,2119.0,1.0
I_6[16],-0.486,0.334,-1.14,0.115,0.008,0.007,1972.0,2062.0,1.0
I_6[17],-0.499,0.336,-1.127,0.134,0.008,0.007,1966.0,2073.0,1.0
I_6[18],-0.507,0.338,-1.151,0.111,0.008,0.007,1958.0,2096.0,1.0
I_6[19],-0.51,0.339,-1.138,0.124,0.008,0.007,1953.0,2022.0,1.0
I_6[20],-0.506,0.338,-1.182,0.076,0.008,0.007,1950.0,2001.0,1.0
I_6[21],-0.497,0.337,-1.157,0.1,0.008,0.007,1952.0,2020.0,1.0
I_6[22],-0.483,0.334,-1.156,0.094,0.008,0.007,1954.0,1996.0,1.0
I_6[23],-0.468,0.331,-1.158,0.092,0.008,0.007,1962.0,2006.0,1.0
I_6[24],-0.455,0.329,-1.081,0.153,0.007,0.007,1968.0,1926.0,1.0
I_6[25],-0.445,0.327,-1.066,0.158,0.007,0.007,1973.0,1907.0,1.0
I_6[26],-0.44,0.325,-1.076,0.147,0.007,0.007,1980.0,1885.0,1.0
I_6[27],-0.442,0.325,-1.092,0.138,0.007,0.007,1983.0,1964.0,1.0
I_6[28],-0.45,0.326,-1.092,0.139,0.007,0.007,1982.0,1982.0,1.0
I_6[29],-0.461,0.327,-1.112,0.128,0.007,0.007,1980.0,2055.0,1.0
I_6[30],-0.471,0.328,-1.124,0.113,0.007,0.007,1977.0,2102.0,1.0
I_6[31],-0.477,0.329,-1.092,0.149,0.008,0.007,1974.0,2147.0,1.0
I_6[32],-0.473,0.329,-1.081,0.159,0.008,0.007,1975.0,2054.0,1.0
I_6[33],-0.455,0.328,-1.108,0.133,0.007,0.007,1973.0,1913.0,1.0
I_6[34],-0.419,0.324,-1.087,0.139,0.007,0.007,1982.0,1952.0,1.0
I_6[35],-0.361,0.318,-0.994,0.215,0.007,0.007,1995.0,1964.0,1.0
I_6[36],-0.282,0.311,-0.898,0.303,0.007,0.007,2011.0,1924.0,1.0
I_6[37],-0.183,0.305,-0.792,0.378,0.007,0.007,2031.0,1883.0,1.0
I_6[38],-0.067,0.301,-0.672,0.492,0.007,0.007,2021.0,1825.0,1.0
I_6[39],0.06,0.302,-0.521,0.634,0.007,0.007,1999.0,1975.0,1.0
I_6[40],0.189,0.308,-0.37,0.804,0.007,0.007,1971.0,1804.0,1.0
I_6[41],0.314,0.318,-0.26,0.947,0.008,0.007,1931.0,2012.0,1.0
I_6[42],0.425,0.331,-0.181,1.077,0.008,0.007,1890.0,2111.0,1.0
I_6[43],0.514,0.343,-0.063,1.223,0.008,0.008,1855.0,2088.0,1.0
