,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_4[8],0.164,0.264,-0.322,0.685,0.005,0.005,3392.0,2762.0,1.0
I_4[9],0.1,0.261,-0.363,0.642,0.005,0.005,3399.0,2837.0,1.0
I_4[10],0.113,0.26,-0.363,0.637,0.005,0.005,3392.0,2930.0,1.0
I_4[11],0.182,0.262,-0.316,0.701,0.005,0.005,3359.0,3001.0,1.0
I_4[12],0.279,0.269,-0.224,0.802,0.005,0.005,3293.0,3142.0,1.0
I_4[13],0.37,0.28,-0.114,0.944,0.005,0.005,3222.0,3076.0,1.0
I_4[14],0.428,0.288,-0.07,1.014,0.005,0.005,3176.0,2924.0,1.0
I_4[15],0.433,0.289,-0.101,0.987,0.005,0.005,3175.0,2930.0,1.0
I_4[16],0.38,0.283,-0.105,0.965,0.005,0.005,3212.0,2970.0,1.0
I_4[17],0.279,0.273,-0.243,0.789,0.005,0.005,3288.0,2967.0,1.0
I_4[18],0.15,0.264,-0.365,0.643,0.005,0.005,3366.0,2773.0,1.0
I_4[19],0.02,0.261,-0.455,0.545,0.005,0.005,3364.0,2783.0,1.0
I_4[20],-0.084,0.263,-0.604,0.393,0.005,0.005,3335.0,2765.0,1.0
I_4[21],-0.138,0.266,-0.635,0.361,0.005,0.005,3340.0,2536.0,1.0
I_4[22],-0.131,0.265,-0.643,0.35,0.005,0.005,3389.0,2567.0,1.0
I_4[23],-0.063,0.262,-0.586,0.402,0.005,0.005,3460.0,2881.0,1.0
I_4[24],0.054,0.26,-0.447,0.543,0.005,0.005,3468.0,2981.0,1.0
I_4[25],0.197,0.265,-0.299,0.707,0.005,0.005,3423.0,2975.0,1.0
I_4[26],0.339,0.277,-0.173,0.865,0.005,0.005,3323.0,3005.0,1.0
I_4[27],0.454,0.291,-0.059,1.02,0.005,0.005,3227.0,3040.0,1.0
I_4[28],0.522,0.301,0.012,1.122,0.005,0.005,3180.0,2976.0,1.0
I_4[29],0.532,0.302,0.018,1.129,0.005,0.005,3174.0,2885.0,1.0
I_4[30],0.484,0.294,-0.012,1.074,0.005,0.005,3205.0,2899.0,1.0
I_4[31],0.389,0.282,-0.111,0.946,0.005,0.005,3268.0,2905.0,1.0
I_4[32],0.266,0.269,-0.236,0.78,0.005,0.005,3345.0,2842.0,1.0
I_4[33],0.136,0.261,-0.318,0.682,0.005,0.005,3383.0,2923.0,1.0
I_4[34],0.02,0.26,-0.461,0.522,0.005,0.005,3374.0,2833.0,1.0
I_4[35],-0.07,0.262,-0.556,0.435,0.005,0.005,3354.0,2771.0,1.0
I_4[36],-0.128,0.266,-0.643,0.351,0.005,0.005,3324.0,2779.0,1.0
I_4[37],-0.157,0.268,-0.686,0.317,0.005,0.005,3293.0,2683.0,1.0
I_4[38],-0.167,0.27,-0.668,0.342,0.005,0.005,3272.0,2722.0,1.0
I_4[39],-0.174,0.27,-0.678,0.338,0.005,0.005,3254.0,2663.0,1.0
I_4[40],-0.192,0.272,-0.73,0.293,0.005,0.005,3248.0,2612.0,1.0
I_4[41],-0.229,0.274,-0.781,0.246,0.005,0.006,3254.0,2648.0,1.0
I_4[42],-0.29,0.279,-0.831,0.201,0.005,0.006,3266.0,2659.0,1.0
I_4[43],-0.367,0.287,-0.915,0.154,0.005,0.006,3253.0,2528.0,1.0
I_4[44],-0.449,0.298,-1.008,0.082,0.005,0.006,3242.0,2749.0,1.0
I_4[45],-0.518,0.308,-1.139,-0.014,0.006,0.007,3235.0,2917.0,1.0
I_4[46],-0.555,0.314,-1.165,-0.026,0.006,0.007,3244.0,3086.0,1.0
I_4[47],-0.546,0.312,-1.127,0.003,0.006,0.007,3275.0,2987.0,1.0
I_4[48],-0.483,0.303,-1.032,0.066,0.005,0.007,3339.0,2901.0,1.0
I_4[49],-0.369,0.287,-0.91,0.135,0.005,0.006,3416.0,3013.0,1.0
I_4[50],-0.216,0.271,-0.754,0.252,0.005,0.006,3498.0,2867.0,1.0
I_4[51],-0.043,0.262,-0.534,0.46,0.005,0.006,3523.0,2900.0,1.0
I_4[52],0.127,0.263,-0.389,0.63,0.005,0.005,3452.0,2997.0,1.0
I_4[53],0.27,0.271,-0.246,0.799,0.005,0.005,3339.0,2907.0,1.0
I_4[54],0.368,0.281,-0.12,0.953,0.005,0.005,3238.0,3000.0,1.0
I_4[55],0.408,0.286,-0.085,0.998,0.005,0.005,3181.0,2930.0,1.0
I_4[56],0.389,0.283,-0.085,0.993,0.005,0.005,3163.0,2841.0,1.0
I_4[57],0.319,0.275,-0.189,0.852,0.005,0.005,3188.0,2905.0,1.0
I_4[58],0.213,0.266,-0.278,0.738,0.005,0.005,3237.0,2735.0,1.0
I_4[59],0.088,0.261,-0.445,0.559,0.005,0.005,3295.0,2599.0,1.0
I_4[60],-0.036,0.261,-0.546,0.454,0.005,0.005,3329.0,2615.0,1.0
I_4[61],-0.144,0.266,-0.662,0.346,0.005,0.006,3350.0,2763.0,1.0
I_4[62],-0.229,0.273,-0.78,0.243,0.005,0.006,3350.0,2508.0,1.0
I_4[63],-0.287,0.28,-0.833,0.207,0.005,0.006,3336.0,2587.0,1.0
I_4[64],-0.324,0.284,-0.858,0.201,0.005,0.006,3323.0,2693.0,1.0
I_4[65],-0.35,0.288,-0.908,0.149,0.005,0.007,3305.0,2782.0,1.0
