,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_1_hsgp_coeffs[10],-0.116,0.862,-1.689,1.47,0.014,0.022,4058.0,1396.0,1.0
I_1_hsgp_coeffs[11],-0.655,0.888,-2.348,1.044,0.016,0.023,3079.0,1150.0,1.0
I_1_hsgp_coeffs[12],0.128,0.871,-1.534,1.694,0.017,0.026,2683.0,1626.0,1.0
I_1_hsgp_coeffs[13],0.508,0.877,-1.135,2.135,0.015,0.021,3347.0,1486.0,1.0
I_1_hsgp_coeffs[14],-0.057,0.846,-1.541,1.596,0.014,0.023,3645.0,1199.0,1.0
I_1_hsgp_coeffs[15],-0.106,0.819,-1.65,1.432,0.016,0.018,2712.0,1333.0,1.0
I_1_hsgp_coeffs[16],-0.193,0.865,-1.83,1.426,0.015,0.022,3538.0,1433.0,1.0
I_1_hsgp_coeffs[17],-0.42,0.882,-2.128,1.123,0.014,0.028,4175.0,1295.0,1.0
I_1_hsgp_coeffs[18],0.541,0.895,-1.117,2.27,0.015,0.023,3533.0,1226.0,1.0
I_1_hsgp_coeffs[19],0.872,0.888,-0.794,2.446,0.014,0.022,3947.0,1564.0,1.0
I_1_hsgp_coeffs[20],-0.821,0.875,-2.46,0.808,0.014,0.022,3688.0,1340.0,1.0
I_1_hsgp_coeffs[21],-1.124,0.883,-2.632,0.638,0.017,0.022,2833.0,1374.0,1.0
I_1_hsgp_coeffs[22],0.947,0.873,-0.754,2.481,0.015,0.022,3433.0,1265.0,1.0
I_1_hsgp_coeffs[23],1.001,0.846,-0.721,2.506,0.012,0.021,4828.0,1557.0,1.0
I_1_hsgp_coeffs[24],-0.843,0.891,-2.568,0.78,0.015,0.023,3793.0,1188.0,1.0
I_1_hsgp_coeffs[25],-0.535,0.854,-2.088,1.124,0.014,0.022,3493.0,1209.0,1.0
I_1_hsgp_coeffs[26],0.501,0.866,-1.123,2.118,0.015,0.022,3512.0,1269.0,1.0
I_1_hsgp_coeffs[27],-0.045,0.831,-1.639,1.461,0.012,0.022,4501.0,1437.0,1.0
I_1_hsgp_coeffs[28],-0.141,0.838,-1.702,1.387,0.016,0.02,2910.0,1157.0,1.0
I_1_hsgp_coeffs[29],0.548,0.872,-0.995,2.222,0.014,0.021,4119.0,1259.0,1.0
I_1_hsgp_coeffs[30],-0.181,0.866,-1.72,1.601,0.015,0.023,3252.0,1341.0,1.0
I_1_hsgp_coeffs[31],-0.674,0.899,-2.264,0.991,0.014,0.025,3901.0,1469.0,1.01
I_1_hsgp_coeffs[32],0.355,0.866,-1.258,1.917,0.014,0.022,4124.0,1444.0,1.0
I_1_hsgp_coeffs[33],0.436,0.836,-1.172,2.1,0.015,0.022,3255.0,1384.0,1.0
I_1_hsgp_coeffs[34],-0.276,0.828,-1.904,1.247,0.014,0.022,3546.0,1254.0,1.0
I_1_hsgp_coeffs[35],0.162,0.858,-1.401,1.746,0.015,0.02,3412.0,1269.0,1.0
I_1_hsgp_coeffs[36],0.023,0.85,-1.581,1.606,0.013,0.021,4516.0,1394.0,1.0
I_1_hsgp_coeffs[37],-0.722,0.828,-2.221,0.9,0.014,0.021,3610.0,1332.0,1.0
I_1_hsgp_coeffs[38],0.223,0.838,-1.319,1.882,0.013,0.022,4202.0,1507.0,1.0
I_1_hsgp_coeffs[39],0.944,0.853,-0.625,2.616,0.015,0.02,3093.0,1488.0,1.0
I_1_hsgp_coeffs[40],-0.471,0.863,-2.12,1.151,0.014,0.023,3791.0,1481.0,1.0
I_1_hsgp_coeffs[41],-0.765,0.812,-2.317,0.711,0.015,0.02,2857.0,1511.0,1.0
I_1_hsgp_coeffs[42],0.524,0.872,-1.102,2.211,0.015,0.02,3177.0,1462.0,1.0
I_1_hsgp_coeffs[43],0.2,0.865,-1.453,1.771,0.015,0.02,3391.0,1457.0,1.0
I_1_hsgp_coeffs[44],-0.465,0.83,-1.984,1.112,0.015,0.017,2924.0,1557.0,1.0
I_1_hsgp_coeffs[45],0.342,0.85,-1.287,1.886,0.017,0.022,2630.0,1517.0,1.0
I_1_hsgp_coeffs[46],0.461,0.836,-1.064,2.076,0.016,0.021,2725.0,1301.0,1.0
I_1_hsgp_coeffs[47],-0.404,0.83,-2.031,1.129,0.015,0.021,2889.0,1257.0,1.0
I_1_hsgp_coeffs[48],-0.606,0.658,-1.865,0.572,0.012,0.015,3268.0,1584.0,1.0
I_1_hsgp_coeffs[49],-0.297,0.715,-1.606,0.962,0.015,0.014,2304.0,1638.0,1.0
I_2_hsgp_coeffs[0],0.063,0.926,-1.637,1.813,0.015,0.022,3600.0,1585.0,1.0
I_2_hsgp_coeffs[1],0.108,0.892,-1.522,1.784,0.013,0.021,4422.0,1497.0,1.0
I_2_hsgp_coeffs[2],0.301,0.993,-1.575,2.107,0.017,0.024,3425.0,1411.0,1.0
I_2_hsgp_coeffs[3],-0.191,0.858,-1.749,1.476,0.015,0.021,3417.0,1431.0,1.0
I_2_hsgp_coeffs[4],-0.726,0.919,-2.392,0.984,0.016,0.023,3223.0,1234.0,1.0
I_2_hsgp_coeffs[5],0.285,0.823,-1.268,1.837,0.013,0.021,3975.0,1540.0,1.0
I_2_hsgp_coeffs[6],1.025,0.894,-0.68,2.616,0.015,0.02,3730.0,1507.0,1.0
I_2_hsgp_coeffs[7],-0.298,0.873,-1.826,1.463,0.014,0.022,3660.0,1621.0,1.0
I_2_hsgp_coeffs[8],-1.031,0.84,-2.461,0.672,0.015,0.019,3033.0,1696.0,1.0
I_2_hsgp_coeffs[9],0.318,0.871,-1.386,1.92,0.013,0.022,4799.0,1238.0,1.0
I_2_hsgp_coeffs[10],0.684,0.906,-1.001,2.413,0.015,0.026,3540.0,1181.0,1.0
I_2_hsgp_coeffs[11],-0.317,0.873,-1.971,1.345,0.013,0.025,4446.0,1285.0,1.0
I_2_hsgp_coeffs[12],-0.274,0.924,-2.011,1.39,0.015,0.024,3704.0,1340.0,1.0
I_2_hsgp_coeffs[13],0.319,0.877,-1.429,1.841,0.014,0.021,3898.0,1545.0,1.0
I_2_hsgp_coeffs[14],-0.009,0.837,-1.646,1.482,0.013,0.022,4068.0,1452.0,1.0
I_2_hsgp_coeffs[15],-0.363,0.89,-1.964,1.372,0.016,0.023,3146.0,1595.0,1.0
I_2_hsgp_coeffs[16],0.027,0.839,-1.522,1.578,0.013,0.02,3925.0,1510.0,1.0
I_2_hsgp_coeffs[17],0.435,0.896,-1.318,2.027,0.016,0.022,3182.0,1281.0,1.0
I_2_hsgp_coeffs[18],0.186,0.882,-1.324,1.875,0.015,0.019,3310.0,1593.0,1.0
I_2_hsgp_coeffs[19],-0.45,0.836,-2.043,1.089,0.013,0.019,3911.0,1596.0,1.0
I_2_hsgp_coeffs[20],-0.442,0.875,-2.095,1.099,0.012,0.022,5139.0,1272.0,1.0
I_2_hsgp_coeffs[21],0.459,0.909,-1.201,2.17,0.016,0.024,3192.0,1389.0,1.0
I_2_hsgp_coeffs[22],0.432,0.874,-1.227,1.957,0.014,0.018,4078.0,1636.0,1.0
I_2_hsgp_coeffs[23],-0.442,0.895,-1.907,1.475,0.014,0.025,4285.0,1203.0,1.01
I_2_hsgp_coeffs[24],-0.156,0.86,-1.81,1.55,0.014,0.023,3932.0,1183.0,1.0
I_2_hsgp_coeffs[25],0.326,0.928,-1.386,2.146,0.015,0.025,3928.0,1336.0,1.0
I_2_hsgp_coeffs[26],-0.277,0.852,-1.871,1.345,0.014,0.024,3688.0,1394.0,1.0
